id,speaker_header,polarity,subjectivity
1,polonius21_1_1,0.0,0.0
2,reynaldo21_1_1,0.0,0.0
3,polonius21_2_1,0.7,0.6
4,reynaldo21_2_1,0.0,0.0
5,polonius21_3_1,0.0,0.0
6,polonius21_3_2,0.2,0.3
7,polonius21_3_3,0.25,0.333333333333
8,polonius21_3_4,0.0,0.0
9,polonius21_3_5,0.188888888889,0.394444444444
10,polonius21_3_6,0.0,0.0
11,polonius21_3_7,0.0,0.0
12,reynaldo21_3_1,0.2,0.3
13,polonius21_4_1,0.0,0.0
14,polonius21_4_2,-0.09125,0.60375
15,polonius21_4_3,-0.4,0.6
16,polonius21_4_4,0.0,0.0
17,polonius21_4_5,0.0,0.0
18,polonius21_4_6,0.0,0.0
19,polonius21_4_7,0.0875,0.4125
20,reynaldo21_4_1,0.0,0.0
21,polonius21_5_1,0.1,1.0
22,reynaldo21_5_1,0.0,0.0
23,polonius21_6_1,0.0,0.0
24,polonius21_6_2,0.0,0.0
25,polonius21_6_3,0.0,0.5
26,polonius21_6_4,0.0,0.0
27,polonius21_6_5,0.0,0.0
28,polonius21_6_6,0.05,0.5
29,reynaldo21_6_1,0.7,0.6
30,polonius21_7_1,0.0,0.0
31,reynaldo21_7_1,0.0,0.0
32,polonius21_8_1,0.0,0.0
33,polonius21_8_2,-0.113541666667,0.516666666667
34,polonius21_8_3,0.7,0.6
35,polonius21_8_4,0.0,0.0
36,reynaldo21_8_1,0.91,0.78
37,polonius21_9_1,0.0,0.0
38,polonius21_9_2,0.0,0.0
39,reynaldo21_9_1,0.0,0.0
40,polonius21_10_1,0.0,0.0
41,polonius21_10_2,-0.125,0.375
42,polonius21_10_3,0.0,0.5
43,polonius21_10_4,0.0,0.0
44,polonius21_10_5,0.0,0.0
45,polonius21_10_6,0.0,0.5
46,polonius21_10_7,0.0,0.0
47,polonius21_10_8,0.0,0.0
48,polonius21_10_9,0.0,0.0
49,reynaldo21_10_1,0.0,0.0
50,polonius21_11_1,0.0,0.0
51,reynaldo21_11_1,0.875,0.6
52,polonius21_12_1,0.0,0.0
53,reynaldo21_12_1,0.0,0.0
54,polonius21_13_1,0.0,0.0
55,reynaldo21_13_1,0.0,0.0
56,polonius21_14_1,0.0,0.0
57,polonius21_14_2,0.0,0.0
58,ophelia21_1_1,-0.5,1.0
59,polonius21_15_1,0.0,0.0
60,ophelia21_2_1,0.0,0.0
61,ophelia21_2_2,0.0,0.0
62,ophelia21_2_3,0.0,0.0
63,ophelia21_2_4,-0.21,0.18
64,ophelia21_2_5,-0.125,0.375
65,ophelia21_2_6,0.0,0.0
66,polonius21_16_1,-0.0625,0.8
67,ophelia21_3_1,0.0,0.0
68,ophelia21_3_2,0.0,0.0
69,polonius21_17_1,0.0,0.0
70,ophelia21_4_1,-0.291666666667,0.541666666667
71,ophelia21_4_2,0.0,0.0
72,ophelia21_4_3,-0.0625,0.4375
73,ophelia21_4_4,-0.05,0.4
74,ophelia21_4_5,-0.114351851852,0.285185185185
75,ophelia21_4_6,0.2,0.383333333333
76,polonius21_18_1,0.0,0.0
77,polonius21_18_2,0.35,0.45
78,polonius21_18_3,-0.7,1.0
79,polonius21_18_4,-0.363888888889,0.713888888889
80,ophelia21_5_1,0.7,0.6
81,ophelia21_5_2,0.0,0.0
82,polonius21_19_1,-0.625,1.0
83,polonius21_19_2,0.0,0.75
84,polonius21_19_3,-0.1,0.2
85,polonius21_19_4,0.0,0.0
86,polonius21_19_5,-0.275,0.675
87,claudius22_1_1,0.316666666667,0.5
88,claudius22_1_2,0.0,0.0
89,claudius22_1_3,0.0,0.0
90,claudius22_1_4,0.11875,0.4
91,gertrude22_1_1,0.475,0.547222222222
92,gertrude22_1_2,0.1,0.35
93,rosencrantz22_1_1,0.5,0.5
94,guildenstern22_1_1,0.375,0.675
95,claudius22_2_1,0.2,0.5
96,gertrude22_2_1,0.133333333333,0.555555555556
97,gertrude22_2_2,0.0,0.0
98,guildenstern22_2_1,0.0,0.0
99,gertrude22_3_1,0.0,0.0
100,polonius22_1_1,0.7,0.6
101,claudius22_3_1,0.7,0.6
102,polonius22_2_1,0.0,0.0
103,polonius22_2_2,0.45,0.45
104,claudius22_4_1,0.0,0.0
105,claudius22_4_2,-0.05,0.4
106,polonius22_3_1,0.25,0.333333333333
107,polonius22_3_2,0.8,0.75
108,claudius22_5_1,0.0,0.0
109,claudius22_5_2,0.35,0.65
110,gertrude22_4_1,0.114583333333,0.354166666667
111,claudius22_6_1,0.0,0.0
112,claudius22_6_2,0.75,0.75
113,other22_1_1,0.6,0.7
114,other22_1_2,0.25,0.333333333333
115,other22_1_3,0.0,0.0
116,other22_1_4,0.5,0.5
117,other22_1_5,-0.4,0.6
118,other22_1_6,0.0,0.333333333333
119,other22_1_7,0.0,0.0
120,other22_1_8,0.416666666667,0.5
121,other22_1_9,0.45,0.2
122,other22_1_10,-0.0388888888889,0.405555555556
123,claudius22_7_1,0.0,0.0
124,claudius22_7_2,0.5,0.5
125,claudius22_7_3,0.0,0.0
126,claudius22_7_4,1.0,0.9
127,polonius22_4_1,0.0,0.0
128,polonius22_4_2,0.0,0.0
129,polonius22_4_4,0.3,0.616666666667
130,polonius22_4_5,-0.1375,0.825
131,polonius22_4_6,0.0,0.0
132,gertrude22_5_1,0.166666666667,0.283333333333
133,polonius22_5_1,0.0,0.0
134,polonius22_5_2,-0.00625,0.625
135,polonius22_5_3,0.125,0.425
136,polonius22_5_4,0.0,0.0
137,polonius22_5_5,-0.625,1.0
138,polonius22_5_6,0.0,0.0
139,polonius22_5_7,0.0,0.0
140,polonius22_5_8,0.0,0.0
141,polonius22_5_9,0.0,0.75
142,polonius22_5_10,0.0,0.0
143,polonius22_5_11,0.5,0.5
144,gertrude22_6_1,0.0,0.0
145,polonius22_6_1,0.7,0.6
146,polonius22_6_2,0.0,0.0
147,polonius22_6_3,0.0,0.0
148,polonius22_6_4,0.0,0.0
149,polonius22_6_5,0.0,0.0
150,polonius22_6_6,0.5,0.6
151,polonius22_6_7,-0.5,1.0
152,polonius22_6_8,0.75,0.425
153,polonius22_6_9,0.0,0.0
154,polonius22_6_10,0.5,0.5
155,polonius22_6_11,0.0,0.0
156,polonius22_6_12,0.25,0.3
157,claudius22_8_1,0.5,0.6
158,polonius22_7_1,0.0,0.0
159,claudius22_9_1,0.0,0.0
160,polonius22_8_1,0.0,0.0
161,polonius22_8_2,0.125,0.65
162,polonius22_8_3,0.5,0.6
163,polonius22_8_4,0.0,0.0
164,polonius22_8_5,-0.05,0.4
165,polonius22_8_6,0.0,0.0
166,polonius22_8_7,0.0,0.0
167,polonius22_8_8,0.0,0.3
168,polonius22_8_9,0.2,0.6
169,polonius22_8_10,0.0,0.0
170,polonius22_8_11,0.0,0.0
171,polonius22_8_12,0.0,0.0
172,polonius22_8_13,0.0,0.0
173,claudius22_10_1,0.0,0.0
174,gertrude22_7_1,0.0,1.0
175,polonius22_9_1,0.113636363636,0.522727272727
176,claudius22_11_1,0.0,0.0
177,polonius22_10_1,0.0,0.0
178,claudius22_12_1,0.0,0.5
179,polonius22_11_1,0.0,0.0
180,gertrude22_8_1,0.0,0.0
181,polonius22_12_1,-0.158974358974,0.489743589744
182,polonius22_12_2,0.5,0.6
183,claudius22_13_1,0.0,0.0
184,gertrude22_9_1,-0.45,0.8
185,polonius22_13_1,0.025,0.5
186,polonius22_13_2,0.7,0.6
187,hamlet22_1_1,0.0,0.0
188,polonius22_14_1,0.0,0.0
189,hamlet22_2_1,1.0,1.0
190,hamlet22_2_2,0.0,0.0
191,polonius22_15_1,0.0,0.0
192,hamlet22_3_1,0.6,0.9
193,polonius22_16_1,0.75,0.9
194,hamlet22_4_1,0.0,0.0
195,hamlet22_4_2,0.3,0.45
196,polonius22_17_1,0.455,0.845
197,hamlet22_5_1,-0.2,0.4
198,polonius22_18_1,0.0,0.0
199,hamlet22_6_1,0.0,0.0
200,polonius22_19_1,0.0,0.0
201,polonius22_19_2,0.25,0.333333333333
202,polonius22_19_3,0.266666666667,0.6
203,polonius22_19_4,0.13,0.52
204,polonius22_19_5,0.0,0.0
205,polonius22_19_6,0.0,0.0
206,hamlet22_7_1,0.0,0.0
207,polonius22_20_1,0.0,0.0
208,hamlet22_8_1,0.0,0.0
209,polonius22_21_1,-0.3125,0.6875
210,hamlet22_9_1,0.025,0.15
211,hamlet22_9_2,0.0,0.0
212,hamlet22_9_3,-0.3,0.475
213,hamlet22_9_4,0.211574074074,0.568981481481
214,hamlet22_9_5,0.1,0.2
215,polonius22_22_1,0.0,0.0
216,polonius22_22_2,0.0,0.0
217,hamlet22_10_1,0.0,0.0
218,polonius22_23_1,0.0,0.0
219,polonius22_23_2,0.416666666667,0.5
220,polonius22_23_3,0.7,0.2
221,polonius22_23_4,0.0,0.5
222,polonius22_23_5,0.15,0.45
223,hamlet22_11_1,0.0,0.0
224,polonius22_24_1,0.0,0.0
225,hamlet22_12_1,-0.1875,0.6
226,polonius22_25_1,0.0,0.0
227,polonius22_25_2,0.0,0.0
228,rosencrantz22_2_1,0.0,0.0
229,guildenstern22_3_1,0.0,0.0
230,rosencrantz22_3_1,0.625,0.5
231,hamlet22_13_1,0.9375,0.8
232,hamlet22_13_2,0.0,0.0
233,hamlet22_13_3,0.0,0.0
234,hamlet22_13_4,0.7,0.6
235,rosencrantz22_4_1,0.0,0.0
236,guildenstern22_4_1,0.8,1.0
237,guildenstern22_4_2,0.2,0.3
238,hamlet22_14_1,0.0,0.0
239,rosencrantz22_5_1,0.0,0.0
240,hamlet22_15_1,0.0681818181818,0.25
241,guildenstern22_5_1,0.0,0.0
242,hamlet22_16_1,-0.4,0.7
243,hamlet22_16_2,0.425,0.575
244,hamlet22_16_3,0.0,0.0
245,hamlet22_16_4,0.0,0.0
246,rosencrantz22_6_1,0.6,0.9
247,hamlet22_17_1,0.1,0.4
248,hamlet22_17_2,-0.175,0.65
249,hamlet22_17_3,0.455555555556,0.477777777778
250,guildenstern22_6_1,0.0,0.0
251,hamlet22_18_1,0.0,0.0
252,rosencrantz22_7_1,0.0,0.0
253,hamlet22_19_1,0.7,0.6
254,hamlet22_19_2,-0.25,0.75
255,rosencrantz22_8_1,0.0,0.0
256,hamlet22_20_1,0.0,0.0
257,hamlet22_20_2,-0.7,0.666666666667
258,rosencrantz22_9_1,0.0,0.0
259,rosencrantz22_9_2,-0.2,0.4
260,hamlet22_21_1,-0.7,0.666666666667
261,guildenstern22_7_1,0.0,0.0
262,guildenstern22_7_2,-0.0166666666667,0.516666666667
263,hamlet22_22_1,0.0,0.0
264,rosencrantz22_10_1,0.4,0.7
265,hamlet22_23_1,0.0,0.0
266,hamlet22_23_2,0.0,0.0
267,hamlet22_23_3,0.0,0.0
268,guildenstern22_8_1,0.0,0.0
269,hamlet22_24_1,0.0,0.5
270,hamlet22_24_2,0.6,0.9
271,hamlet22_24_3,0.0,0.0
272,rosencrantz22_11_1,0.0,0.0
273,rosencrantz22_11_2,0.0625,0.375
274,hamlet22_25_1,-0.1,0.4
275,hamlet22_25_2,0.35,0.544444444444
276,hamlet22_25_3,0.0,0.0
277,hamlet22_25_4,0.6,1.0
278,hamlet22_25_5,0.0,0.0
279,hamlet22_25_6,0.0,0.0
280,hamlet22_25_7,0.0,0.0
281,guildenstern22_9_1,0.0,0.0
282,hamlet22_26_1,0.0,0.0
283,hamlet22_26_2,0.0,0.0
284,hamlet22_26_3,0.433333333333,0.666666666667
285,rosencrantz22_12_1,0.0,0.0
286,hamlet22_27_1,0.0,0.0
287,hamlet22_27_2,0.366666666667,0.5
288,rosencrantz22_13_1,0.0,0.0
289,hamlet22_28_1,0.0,0.0
290,hamlet22_28_2,0.5,0.6
291,guildenstern22_10_1,0.0,0.0
292,hamlet22_29_1,0.0,0.0
293,hamlet22_29_2,0.0,0.0
294,hamlet22_29_3,-0.3,0.6
295,hamlet22_29_4,0.7,0.6
296,hamlet22_29_5,0.5325,0.675
297,hamlet22_29_6,0.0,0.0
298,hamlet22_29_7,0.75,0.9
299,hamlet22_29_8,0.0,0.0
300,hamlet22_29_9,0.0,0.0
301,hamlet22_29_10,0.0,0.0
302,hamlet22_29_11,0.0,0.0
303,hamlet22_29_12,0.0,0.0
304,hamlet22_29_13,0.0,0.0
305,hamlet22_29_14,0.0,0.0
306,hamlet22_29_15,0.0,0.0
307,hamlet22_29_16,0.0,0.0
308,rosencrantz22_14_1,0.0,0.5
309,hamlet22_30_1,0.3,0.1
310,rosencrantz22_15_1,0.0,0.0
311,rosencrantz22_15_2,0.0,0.0
312,hamlet22_31_1,0.8,0.9
313,hamlet22_31_2,0.5,0.9
314,hamlet22_31_3,0.0,0.0
315,hamlet22_31_4,0.5,1.0
316,hamlet22_31_5,0.3,0.1
317,hamlet22_31_6,0.0,0.0
318,hamlet22_31_7,0.0,0.0
319,rosencrantz22_16_1,0.0,0.5
320,hamlet22_32_1,0.0,0.0
321,hamlet22_32_2,0.5,0.5
322,rosencrantz22_17_1,0.0,0.0
