id,speaker_header,polarity,subjectivity
1,bernardo11_1_1,0.0,0.0
2,francisco11_1_1,0.0,0.0
3,bernardo11_2_1,0.0602272727273,0.45
4,francisco11_3_1,0.0,0.0
5,bernardo11_3_1,0.0,0.0
6,francisco11_4_1,0.2,0.75
7,bernardo11_4_1,0.0,0.0
8,bernardo11_4_2,0.0,0.0
9,francisco11_5_1,-0.303571428571,0.639285714286
10,bernardo11_5_1,0.0,0.333333333333
11,francisco11_6_1,0.0,0.0
12,bernardo11_6_1,0.7,0.6
13,bernardo11_6_2,0.0,0.0
14,francisco11_7_1,0.0,0.0
15,francisco11_7_2,0.0,0.0
16,francisco11_7_3,0.0,0.0
17,horatio11_1_1,0.0,0.0
18,marcellus11_1_1,0.0,0.0
19,francisco11_8_1,0.0,0.0
20,marcellus11_2_1,0.6,0.9
21,marcellus11_2_2,0.0,0.0
22,francisco11_9_1,0.0,0.0
23,francisco11_9_2,0.0,0.0
24,marcellus11_3_1,0.0,0.0
25,marcellus11_3_2,0.0,0.0
26,bernardo11_7_1,0.0,0.0
27,bernardo11_7_2,0.0,0.0
28,horatio11_2_1,0.0,0.0
29,bernardo11_8_1,0.766666666667,0.8
30,marcellus11_4_1,0.0,0.0
31,bernardo11_9_1,0.0,0.0
32,marcellus11_5_1,0.0,0.0
33,marcellus11_5_2,0.0,0.0
34,horatio11_3_1,0.0,0.0
35,bernardo11_10_1,-0.155555555556,0.288888888889
36,horatio11_4_1,-0.155555555556,0.288888888889
37,bernardo11_11_1,0.0,0.0958333333333
38,marcellus11_6_1,0.0,0.0
39,marcellus11_6_2,0.0,0.0
40,bernardo11_12_1,-0.1,0.2625
41,marcellus11_7_1,0.0,0.0
42,marcellus11_7_2,0.0,0.0
43,bernardo11_13_1,0.0,0.0
44,bernardo11_13_2,0.0,0.0
45,horatio11_5_1,0.5,0.5
46,bernardo11_14_1,0.0,0.0
47,marcellus11_8_1,0.0,0.0
48,horatio11_6_1,0.7,0.9
49,horatio11_6_2,0.0,0.0
50,marcellus11_9_1,0.0,0.0
51,bernardo11_15_1,0.0,0.0
52,horatio11_7_1,0.0,0.0
53,horatio11_7_2,0.0,0.0
54,horatio11_7_3,0.0,0.0
55,marcellus11_10_1,0.0,0.0
56,bernardo11_16_1,0.0,0.0
57,bernardo11_16_2,0.5,0.5
58,bernardo11_16_3,0.0,0.0
59,horatio11_8_1,0.475,0.825
60,marcellus11_11_1,0.0,0.0
61,horatio11_9_1,0.225,0.525
62,horatio11_9_2,-0.5,1.0
63,horatio11_9_3,-0.05,0.15
64,marcellus11_12_1,-0.1,0.2
65,horatio11_10_1,0.166666666667,0.333333333333
66,horatio11_10_2,-0.025,0.075
67,marcellus11_13_1,0.175555555556,0.369444444444
68,marcellus11_13_2,-0.0416666666667,0.208333333333
69,marcellus11_13_3,0.0,0.5
70,marcellus11_13_4,0.0,0.0
71,horatio11_11_1,-0.3,0.4
72,horatio11_11_2,0.25,0.283333333333
73,horatio11_11_3,0.0,0.0
74,horatio11_11_4,0.0,0.0
75,horatio11_11_5,0.0,0.0
76,horatio11_11_6,0.0,0.125
77,horatio11_11_7,0.233333333333,0.6
78,horatio11_11_8,0.220833333333,0.480555555556
79,bernardo11_17_1,0.0625,0.375
80,bernardo11_17_2,0.0,0.0
81,horatio11_12_1,-0.2,0.2
82,horatio11_12_2,0.1575,0.513333333333
83,horatio11_12_3,0.0,0.0
84,horatio11_12_4,-0.714285714286,0.857142857143
85,horatio11_12_5,0.125,0.35
86,horatio11_12_6,0.0,0.0
87,horatio11_12_7,0.7,0.666666666667
88,horatio11_12_8,0.0,0.0
89,marcellus11_14_1,0.0,0.0
90,horatio11_13_1,0.0,0.0
91,bernardo11_18_1,0.0,0.0
92,horatio11_14_1,0.0,0.0
93,marcellus11_15_1,-0.5,0.9
94,marcellus11_15_2,0.0,0.0
95,bernardo11_19_1,0.0,0.0
96,horatio11_15_1,-0.7,1.0
97,horatio11_15_2,0.0,0.0
98,horatio11_15_3,0.0,0.0
99,marcellus11_16_1,0.0,0.0
100,marcellus11_16_2,0.15,0.575
101,marcellus11_16_3,0.0,0.0
102,marcellus11_16_4,0.0,0.0
103,marcellus11_16_5,0.0,0.0
104,marcellus11_16_6,0.0,0.0
105,horatio11_16_1,0.0,0.0
106,horatio11_16_2,0.13,0.47
107,horatio11_16_3,0.0625,0.5
108,marcellus11_17_1,0.0,0.0
109,marcellus11_17_2,0.5,0.5
110,claudius12_1_1,-0.266666666667,0.3
111,claudius12_1_2,0.1,1.0
112,claudius12_1_3,0.4,0.225
113,claudius12_1_4,0.366666666667,0.5
114,claudius12_1_5,0.0791666666667,0.420833333333
115,claudius12_1_6,0.125,0.325
116,claudius12_1_7,0.245833333333,0.420833333333
117,claudius12_1_8,0.166666666667,0.433333333333
118,claudius12_1_9,0.0,0.0
119,claudius12_1_10,0.0,0.0
120,other12_1_1,0.0,0.0
121,claudius12_2_1,0.0,0.0
122,claudius12_2_2,0.0,0.0
123,claudius12_2_3,0.0,0.0
124,claudius12_2_4,0.0,0.0
125,claudius12_2_5,0.0,0.0
126,claudius12_2_6,0.125,0.5
127,claudius12_2_7,0.0,0.0
128,laertes12_1_1,0.0,0.0
129,laertes12_1_2,0.25,0.75
130,laertes12_1_3,0.0,0.0
131,claudius12_3_1,0.0,0.0
132,claudius12_3_2,0.0,0.0
133,polonius12_1_1,-0.3,0.4
134,polonius12_1_2,-0.291666666667,0.541666666667
135,claudius12_4_1,0.7,0.9
136,claudius12_4_2,1.0,0.3
137,claudius12_4_3,0.0,0.0
138,hamlet12_1_1,0.223958333333,0.491666666667
139,claudius12_5_1,0.0,0.0
140,hamlet12_2_1,0.0,0.0
141,hamlet12_2_2,0.2,0.2
142,gertrude12_1_1,0.7,0.6
143,gertrude12_1_2,0.15,0.7
144,hamlet12_3_1,-0.3,0.5
145,gertrude12_2_1,0.166666666667,0.333333333333
146,hamlet12_4_1,0.0,0.0
147,hamlet12_4_2,0.0,0.0
148,hamlet12_4_3,0.0,0.0
149,hamlet12_4_4,-0.141666666667,0.358333333333
150,hamlet12_4_5,0.0,0.0
151,hamlet12_4_6,0.0,0.0
152,hamlet12_4_7,0.0,0.0
153,claudius12_6_1,0.35,0.65
154,claudius12_6_2,0.0,0.0
155,claudius12_6_3,0.0,0.0
156,claudius12_6_4,0.0,0.0
157,claudius12_6_5,-0.8,0.2
158,claudius12_6_6,0.5,0.5
159,claudius12_6_7,-0.2,0.9
160,claudius12_6_8,-0.1,0.378571428571
161,claudius12_6_9,-0.2,0.633333333333
162,claudius12_6_10,0.0,0.0
163,claudius12_6_11,-0.0666666666667,0.633333333333
164,claudius12_6_12,-0.025,0.416666666667
165,claudius12_6_13,0.0,0.0
166,claudius12_6_14,0.5,0.5
167,claudius12_6_15,0.0833333333333,0.0666666666667
168,claudius12_6_16,0.25,0.25
169,gertrude12_3_1,0.0,0.0
170,gertrude12_3_2,0.0,0.0
171,hamlet12_5_1,1.0,0.3
172,claudius12_7_1,0.65,0.925
173,claudius12_7_2,0.0,0.0
174,claudius12_7_3,0.5,0.775
175,claudius12_7_4,0.0,0.0
176,claudius12_7_5,0.0,0.0
177,hamlet12_6_1,0.0,0.1
178,hamlet12_6_2,0.0,0.0
179,hamlet12_6_3,-0.265625,0.3125
180,hamlet12_6_4,0.0,0.0
181,hamlet12_6_5,0.0,0.0
182,hamlet12_6_6,-0.433333333333,0.466666666667
183,hamlet12_6_7,-0.25,0.4
184,hamlet12_6_8,0.6,0.6
185,hamlet12_6_9,0.0,0.0
186,hamlet12_6_10,0.25,0.675
187,hamlet12_6_11,0.0,0.0
188,hamlet12_6_12,0.0,0.0
189,hamlet12_6_13,-0.1875,0.5
190,hamlet12_6_14,-0.4,0.6
191,hamlet12_6_15,0.0,0.0
192,hamlet12_6_16,0.225,0.175
193,hamlet12_6_17,-0.25,0.5
194,hamlet12_6_18,0.285714285714,0.478571428571
195,hamlet12_6_19,0.0,0.0
196,horatio12_1_1,0.0,0.0
197,hamlet12_7_1,0.5,1.0
198,horatio12_2_1,-0.2,0.3625
199,hamlet12_8_1,0.7,0.6
200,hamlet12_8_2,0.0,0.0
201,hamlet12_8_3,0.0,0.0
202,marcellus12_1_1,0.7,0.6
203,hamlet12_9_1,0.65,1.0
204,hamlet12_9_2,0.7,0.6
205,hamlet12_9_3,0.0,0.0
206,horatio12_3_1,0.7,0.6
207,hamlet12_10_1,0.0,0.0
208,hamlet12_10_2,0.6,1.0
