id,speaker_header,polarity,subjectivity
1,claudius12_1_1,-0.266666666667,0.3
2,claudius12_1_2,0.1,1.0
3,claudius12_1_3,0.4,0.225
4,claudius12_1_4,0.366666666667,0.5
5,claudius12_1_5,0.0791666666667,0.420833333333
6,claudius12_1_6,0.125,0.325
7,claudius12_1_7,0.245833333333,0.420833333333
8,claudius12_1_8,0.166666666667,0.433333333333
9,claudius12_1_9,0.0,0.0
10,claudius12_1_10,0.0,0.0
11,claudius31_1_1,-0.4,0.8
12,claudius52_1_1,0.0,0.0
13,claudius47_1_1,0.6,0.9
14,claudius45_1_1,0.25,1.0
15,claudius51_1_1,0.0,0.0
16,claudius41_1_1,0.0,0.0
17,claudius41_1_2,0.241666666667,0.7
18,claudius41_1_3,0.0,0.0
19,claudius32_1_1,0.0,0.0
20,claudius22_1_1,0.316666666667,0.5
21,claudius22_1_2,0.0,0.0
22,claudius22_1_3,0.0,0.0
23,claudius22_1_4,0.11875,0.4
24,claudius33_1_1,0.0,0.0
25,claudius33_1_2,0.5,0.5
26,claudius33_1_3,0.0,0.0
27,claudius33_1_4,0.1,0.4
28,claudius43_1_1,0.0,0.0
29,claudius43_1_2,0.177777777778,0.811111111111
30,claudius43_1_3,0.0,0.0
31,claudius43_1_4,-0.2,0.75
32,claudius43_1_5,0.0,0.0
33,claudius43_1_6,0.0,0.0
34,claudius43_2_1,0.0,0.0
35,claudius12_2_1,0.0,0.0
36,claudius12_2_2,0.0,0.0
37,claudius12_2_3,0.0,0.0
38,claudius12_2_4,0.0,0.0
39,claudius12_2_5,0.0,0.0
40,claudius12_2_6,0.125,0.5
41,claudius12_2_7,0.0,0.0
42,claudius31_2_1,0.0,0.0
43,claudius31_2_2,0.2,0.2
44,claudius31_2_3,0.35,0.55
45,claudius52_2_1,0.1,0.4
46,claudius52_2_2,0.0,0.0
47,claudius47_2_1,0.357142857143,0.571428571429
48,claudius47_2_2,0.316666666667,0.466666666667
49,claudius47_2_3,0.0,0.0
50,claudius47_2_4,0.0,0.0
51,claudius47_2_5,0.245,0.458333333333
52,claudius47_2_6,0.0,0.0
53,claudius47_2_7,-0.0333333333333,0.483333333333
54,claudius45_2_1,0.0,0.0
55,claudius41_2_1,0.0,0.0
56,claudius41_2_2,0.0,0.0
57,claudius32_2_1,0.0,0.0
58,claudius32_2_2,0.0,0.0
59,claudius22_2_1,0.2,0.5
60,claudius51_2_1,-0.625,1.0
61,claudius33_2_1,0.0,0.0
62,claudius33_2_2,0.0,0.0
63,claudius12_3_1,0.0,0.0
64,claudius12_3_2,0.0,0.0
65,claudius31_3_1,0.35,0.65
66,claudius31_3_2,0.0,0.0
67,claudius31_3_3,-0.05,0.65
68,claudius52_3_1,0.0,0.0
69,claudius52_3_2,0.0,0.0
70,claudius52_3_3,0.0,0.0
71,claudius47_3_1,-0.025,0.125
72,claudius47_3_2,0.4,0.566666666667
73,claudius47_3_3,0.0,0.0
74,claudius47_3_4,0.0,0.0
75,claudius45_3_1,0.3125,1.0
76,claudius51_3_1,0.7,0.6
77,claudius51_3_2,0.0,0.0666666666667
78,claudius51_3_3,0.0,0.0
79,claudius51_3_4,0.7,0.6
80,claudius51_3_5,0.0,0.316666666667
81,claudius51_3_6,0.0,0.0
82,claudius43_3_1,0.0,0.0
83,claudius41_3_1,0.075,0.525
84,claudius41_3_2,0.0,0.0
85,claudius41_3_3,-0.6,0.95
86,claudius41_3_4,-0.175,0.566666666667
87,claudius41_3_5,0.366666666667,0.366666666667
88,claudius41_3_6,0.0,0.0
89,claudius41_3_7,0.0,0.0
90,claudius32_3_1,0.0,0.0
91,claudius32_3_2,0.0,0.0
92,claudius22_3_1,0.7,0.6
93,claudius33_3_1,0.2,0.2
94,claudius33_3_2,-0.8,0.9
95,claudius33_3_3,0.0,0.0
96,claudius33_3_4,0.154166666667,0.741666666667
97,claudius33_3_5,0.125,0.166666666667
98,claudius33_3_6,0.116666666667,0.383333333333
99,claudius33_3_7,0.0,0.0
100,claudius33_3_8,-0.155555555556,0.288888888889
101,claudius33_3_9,0.0,0.0
102,claudius33_3_10,-0.25,0.25
103,claudius33_3_11,0.0,0.0
104,claudius33_3_12,0.0,0.0
105,claudius33_3_13,0.0,0.0
106,claudius33_3_14,0.6,1.0
107,claudius33_3_15,0.0,0.0
108,claudius33_3_16,0.0,0.0
109,claudius33_3_17,0.0,0.0
110,claudius33_3_18,0.0,0.1
111,claudius33_3_19,0.0,0.0
112,claudius33_3_20,0.225,0.375
113,claudius33_3_21,0.0,0.0
114,claudius33_3_22,0.0,0.0
115,claudius33_3_23,0.0,0.0
116,claudius33_3_24,0.0,0.0
117,claudius33_3_25,0.0,0.0
118,claudius33_3_26,0.0,0.0
119,claudius33_3_27,0.286111111111,0.577777777778
120,claudius33_3_28,0.0,0.0
121,claudius33_3_29,0.0,0.0
122,claudius33_3_30,0.1,0.35
123,claudius12_4_1,0.7,0.9
124,claudius12_4_2,1.0,0.3
125,claudius12_4_3,0.0,0.0
126,claudius31_4_1,-0.0971428571429,0.628571428571
127,claudius52_4_1,0.0833333333333,0.111111111111
128,claudius52_4_2,0.5,0.5
129,claudius52_4_3,0.0,0.0
130,claudius52_4_4,0.0,0.0
131,claudius52_4_5,0.0,0.0
132,claudius52_4_6,-0.5,0.7
133,claudius47_4_1,0.0,0.0
134,claudius47_4_2,0.0,0.0
135,claudius45_4_1,-0.05,0.4
136,claudius41_4_1,-0.05,0.05
137,claudius41_4_2,0.0,0.5
138,claudius41_4_3,0.7,0.9
139,claudius41_4_4,0.0,0.0
140,claudius41_4_5,0.0,0.0
141,claudius41_4_6,-0.15625,0.34375
142,claudius41_4_7,0.35,0.55
143,claudius32_4_1,0.0,0.0
144,claudius22_4_1,0.0,0.0
145,claudius22_4_2,-0.05,0.4
146,claudius43_4_1,0.0,0.0
147,claudius33_4_1,0.8,0.9
148,claudius12_5_1,0.0,0.0
149,claudius31_5_1,0.625,0.6
150,claudius31_5_2,0.0,0.0
151,claudius31_5_3,-0.1875,0.5
152,claudius31_5_4,0.0,0.0
153,claudius31_5_5,0.0592592592593,0.462962962963
154,claudius31_5_6,0.0,0.0
155,claudius31_5_7,0.0,0.0
156,claudius52_5_1,0.0,0.0
157,claudius52_5_2,0.0,0.0
158,claudius52_5_3,0.0,0.0
159,claudius52_5_4,0.0,0.0
160,claudius47_5_1,0.0,0.0
161,claudius47_5_2,0.0,0.0
162,claudius47_5_3,0.186666666667,0.613333333333
163,claudius47_5_4,0.175,0.370833333333
164,claudius47_5_5,0.0,0.0
165,claudius47_5_6,-0.3125,0.6875
166,claudius47_5_7,0.0,0.0
167,claudius47_5_8,0.0,0.5
168,claudius45_5_1,0.0,0.0
169,claudius45_5_2,0.7,0.6
170,claudius45_5_3,-0.4,0.3
171,claudius45_5_4,0.0,0.0
172,claudius45_5_5,0.0446428571429,0.214285714286
173,claudius45_5_6,0.25,0.333333333333
174,claudius45_5_7,0.14,0.715
175,claudius45_5_8,-0.08,0.58
176,claudius45_5_9,0.2,0.1
177,claudius45_5_10,0.0,0.0
178,claudius45_5_11,0.5,0.5
179,claudius43_5_1,0.0,0.0
180,claudius43_5_2,0.0,0.0
181,claudius32_5_1,0.5,0.7
182,claudius22_5_1,0.0,0.0
183,claudius22_5_2,0.35,0.65
184,claudius12_6_1,0.35,0.65
185,claudius12_6_2,0.0,0.0
186,claudius12_6_3,0.0,0.0
187,claudius12_6_4,0.0,0.0
188,claudius12_6_5,-0.8,0.2
189,claudius12_6_6,0.5,0.5
190,claudius12_6_7,-0.2,0.9
191,claudius12_6_8,-0.1,0.378571428571
192,claudius12_6_9,-0.2,0.633333333333
193,claudius12_6_10,0.0,0.0
194,claudius12_6_11,-0.0666666666667,0.633333333333
195,claudius12_6_12,-0.025,0.416666666667
196,claudius12_6_13,0.0,0.0
197,claudius12_6_14,0.5,0.5
