id,speaker_header,polarity,subjectivity
1,gertrude51_1_1,0.35,0.65
2,gertrude51_1_2,0.0,0.0
3,gertrude51_1_3,0.35,0.65
4,gertrude47_1_1,0.05,0.35
5,gertrude41_1_1,-0.1875,0.5
6,gertrude41_1_2,0.875,0.6
7,gertrude22_1_1,0.475,0.547222222222
8,gertrude22_1_2,0.1,0.35
9,gertrude31_1_1,0.0,0.0
10,gertrude34_1_1,0.0,0.0
11,gertrude34_1_2,0.0,0.0
12,gertrude12_1_1,0.7,0.6
13,gertrude12_1_2,0.15,0.7
14,gertrude32_1_1,0.0,0.0
15,gertrude52_1_1,0.0,0.0
16,gertrude52_1_2,0.0,0.0
17,gertrude45_1_1,0.0,0.0
18,gertrude12_2_1,0.166666666667,0.333333333333
19,gertrude41_2_1,-0.78125,1.0
20,gertrude41_2_2,0.4,0.4
21,gertrude22_2_1,0.133333333333,0.555555555556
22,gertrude22_2_2,0.0,0.0
23,gertrude31_2_1,0.0,0.0
24,gertrude34_2_1,0.2,0.2
25,gertrude47_2_1,0.0,0.0
26,gertrude47_2_2,-0.1125,0.675
27,gertrude47_2_3,0.0,0.0
28,gertrude47_2_4,-0.155555555556,0.288888888889
29,gertrude47_2_5,-0.1,0.4
30,gertrude47_2_6,0.0,0.0
31,gertrude47_2_7,0.1,0.2
32,gertrude47_2_8,-0.0125,0.625
33,gertrude32_2_1,0.2,0.2
34,gertrude52_2_1,0.0,0.0
35,gertrude52_2_2,0.0,0.0
36,gertrude51_2_1,0.0,0.0
37,gertrude51_2_2,0.0,0.0
38,gertrude45_2_1,0.0,0.0
39,gertrude47_3_1,-0.1,0.1
40,gertrude41_3_1,-0.128571428571,0.6
41,gertrude22_3_1,0.0,0.0
42,gertrude31_3_1,0.75,0.8
43,gertrude34_3_1,0.0,0.0
44,gertrude32_3_1,0.0,0.0
45,gertrude52_3_1,0.0,0.0
46,gertrude51_3_1,0.0,0.0
47,gertrude12_3_1,0.0,0.0
48,gertrude12_3_2,0.0,0.0
49,gertrude45_3_1,0.0,0.0
50,gertrude45_3_2,0.196428571429,0.701785714286
51,gertrude34_4_1,0.0,0.0
52,gertrude51_4_1,0.625,0.6
53,gertrude22_4_1,0.114583333333,0.354166666667
54,gertrude52_4_1,0.0,0.0
55,gertrude52_4_2,0.0,0.0
56,gertrude52_4_3,0.0,0.0
57,gertrude52_4_4,0.0,0.0
58,gertrude52_4_5,0.0,0.0
59,gertrude45_4_1,0.0,0.0
60,gertrude51_5_1,-0.05,0.45
61,gertrude51_5_2,0.15,0.333333333333
62,gertrude22_5_1,0.166666666667,0.283333333333
63,gertrude34_5_1,0.0,0.0
64,gertrude45_5_1,-0.025,0.825
65,gertrude22_6_1,0.0,0.0
66,gertrude34_6_1,0.0,0.0
67,gertrude45_6_1,0.0,0.0
68,gertrude22_7_1,0.0,1.0
69,gertrude34_7_1,0.0,0.0
70,gertrude34_7_2,0.0,0.0
71,gertrude34_7_3,0.0,0.0
72,gertrude45_7_1,-0.5,1.0
73,gertrude22_8_1,0.0,0.0
74,gertrude34_8_1,0.0,0.0
75,gertrude45_8_1,0.0,0.0
76,gertrude22_9_1,-0.45,0.8
77,gertrude34_9_1,-1.0,0.9
78,gertrude45_9_1,-0.166666666667,0.733333333333
79,gertrude34_10_1,0.0,0.0
80,gertrude45_10_1,0.7,0.6
81,gertrude34_11_1,-0.3,0.6
82,gertrude45_11_1,0.0,0.0
83,gertrude34_12_1,0.1,0.8
84,gertrude34_13_1,0.2,0.3
85,gertrude34_13_2,-0.0833333333333,0.466666666667
86,gertrude34_14_1,-0.25,0.5
87,gertrude34_14_2,0.0,0.0
88,gertrude34_14_3,0.05,0.575
89,gertrude34_15_1,-0.25,0.5
90,gertrude34_16_1,-0.590625,1.0
91,gertrude34_17_1,-0.4,1.0
92,gertrude34_17_2,0.1,0.4
93,gertrude34_17_3,0.0,0.0
94,gertrude34_17_4,0.31875,0.725
95,gertrude34_17_5,0.0,0.0
96,gertrude34_18_1,0.0,0.0
97,gertrude34_19_1,0.0,0.0
98,gertrude34_19_2,0.0,0.0
99,gertrude34_20_1,0.0,0.0
100,gertrude34_21_1,0.1,0.605
101,gertrude34_22_1,0.0,0.0
102,gertrude34_23_1,0.0,0.0
103,gertrude34_24_1,0.0,0.0
104,gertrude34_25_1,0.0,0.0
