id,speaker_header,polarity,subjectivity
1,ghost34_1_1,0.0,0.0
2,ghost34_1_2,0.0,0.0
3,ghost34_1_3,0.0,0.0
4,ghost15_1_1,0.0,0.0
5,ghost15_2_1,0.0,0.0
6,ghost15_3_1,-0.216666666667,0.433333333333
7,ghost15_4_1,0.0,0.0
8,ghost15_5_1,0.0,0.0
9,ghost15_5_2,0.214285714286,0.571428571429
10,ghost15_5_3,0.0,0.0
11,ghost15_5_4,0.1,0.4
12,ghost15_5_5,0.0,0.0
13,ghost15_5_6,0.166666666667,0.333333333333
14,ghost15_5_7,0.0,0.0
15,ghost15_5_8,0.5,0.6
16,ghost15_6_1,0.5,0.5
17,ghost15_7_1,0.75,0.4
18,ghost15_7_2,0.225,0.325
19,ghost15_8_1,0.6,1.0
20,ghost15_8_2,0.0,0.0
21,ghost15_8_3,0.0,0.0
22,ghost15_8_4,0.0,0.0
23,ghost15_8_5,0.2,0.4
24,ghost15_8_6,0.6,0.9
25,ghost15_9_1,0.0,0.0
26,ghost15_9_2,0.5,0.55
27,ghost15_9_3,0.1,0.4
28,ghost15_9_4,0.0,0.0
29,ghost15_9_5,0.125,0.35
30,ghost15_9_6,0.0,0.0
31,ghost15_9_7,0.0,0.333333333333
32,ghost15_9_8,0.4,0.6
33,ghost15_9_9,0.05,0.45
34,ghost15_9_10,-0.2,0.675
35,ghost15_9_11,0.0,0.0
36,ghost15_9_12,0.35,0.541666666667
37,ghost15_9_13,-0.75,0.75
38,ghost15_9_14,-1.0,1.0
39,ghost15_9_15,-1.0,1.0
40,ghost15_9_16,0.5,0.5
41,ghost15_9_17,0.0,0.0
42,ghost15_9_18,0.0,0.0
43,ghost15_9_19,-0.08125,0.29
44,ghost15_9_20,0.0,0.0
45,ghost15_10_1,0.0,0.0
46,ghost15_11_1,0.0,0.0
47,ghost15_12_1,0.0,0.0
48,ghost15_13_1,0.0,0.0
