id,speaker_header,polarity,subjectivity
1,guildenstern33_1_1,0.284090909091,0.4375
2,guildenstern32_1_1,0.7,0.6
3,guildenstern42_1_1,0.0,0.0
4,guildenstern22_1_1,0.375,0.675
5,guildenstern32_2_1,0.0,0.0
6,guildenstern22_2_1,0.0,0.0
7,guildenstern32_3_1,0.0,0.0
8,guildenstern22_3_1,0.0,0.0
9,guildenstern32_4_1,0.0,0.0
10,guildenstern32_4_2,0.0,0.0
11,guildenstern22_4_1,0.8,1.0
12,guildenstern22_4_2,0.2,0.3
13,guildenstern32_5_1,0.4,0.5
14,guildenstern22_5_1,0.0,0.0
15,guildenstern32_6_1,0.65,0.625
16,guildenstern22_6_1,0.0,0.0
17,guildenstern32_7_1,0.492857142857,0.567857142857
18,guildenstern32_7_2,0.0,0.0
19,guildenstern22_7_1,0.0,0.0
20,guildenstern22_7_2,-0.0166666666667,0.516666666667
21,guildenstern32_8_1,0.0,0.0
22,guildenstern22_8_1,0.0,0.0
23,guildenstern32_9_1,0.416666666667,0.633333333333
24,guildenstern22_9_1,0.0,0.0
25,guildenstern22_10_1,0.0,0.0
26,guildenstern32_10_1,0.0,0.0
27,guildenstern22_11_1,0.2,0.2
28,guildenstern32_11_1,0.0,0.0
29,guildenstern22_12_1,0.0,0.0
30,guildenstern32_12_1,0.0,0.0
31,guildenstern22_13_1,0.0,0.0
32,guildenstern31_13_1,0.375,0.775
33,guildenstern32_13_1,0.0,0.0
34,guildenstern32_13_2,0.0,0.0
35,guildenstern31_14_1,0.2,0.2
