id,speaker_header,polarity,subjectivity
1,hamlet31_1_1,-1.0,1.0
2,hamlet31_1_2,-0.25,0.5
3,hamlet31_1_3,0.1,0.4
4,hamlet31_1_4,0.0,0.0
5,hamlet31_1_5,0.0,0.0
6,hamlet31_1_6,0.0,0.0
7,hamlet31_1_7,-0.05,0.4
8,hamlet31_1_8,0.2125,0.65
9,hamlet31_1_9,0.8,0.9
10,hamlet31_1_10,0.0,0.0
11,hamlet31_1_11,-0.21,0.18
12,hamlet31_1_12,0.45,0.425
13,hamlet31_1_13,0.4875,0.625
14,hamlet31_1_14,0.0,0.0
15,hamlet33_1_1,0.0,0.0
16,hamlet33_1_2,0.0,0.0
17,hamlet33_1_3,0.0,0.0
18,hamlet33_1_4,0.0,0.0
19,hamlet33_1_5,0.0,0.0
20,hamlet33_1_6,0.0,0.1875
21,hamlet33_1_7,0.0,0.0
22,hamlet33_1_8,0.35,0.55
23,hamlet33_1_9,0.0625,0.3125
24,hamlet33_1_10,0.0,0.0
25,hamlet33_1_11,0.15,0.383333333333
26,hamlet33_1_12,0.0,0.0
27,hamlet33_1_13,0.0,0.75
28,hamlet33_1_14,0.0,0.0
29,hamlet33_1_15,0.0,0.0
30,hamlet33_1_16,0.0,0.0
31,hamlet33_1_17,0.0,0.0
32,hamlet33_1_18,0.0,0.0
33,hamlet33_1_19,0.0,0.0
34,hamlet33_1_20,-0.714285714286,0.857142857143
35,hamlet15_1_1,0.0,0.0
36,hamlet15_1_2,0.0,0.0
37,hamlet15_1_3,0.0,0.5
38,hamlet32_1_1,0.5,0.5
39,hamlet32_1_2,0.2,0.25
40,hamlet32_1_3,0.06,0.52
41,hamlet32_1_4,0.0,0.0
42,hamlet42_1_1,0.5,0.5
43,hamlet34_1_1,0.0,0.0
44,hamlet44_1_1,0.7,0.6
45,hamlet14_1_1,0.0,0.0
46,hamlet14_1_2,-0.78,1.0
47,hamlet12_1_1,0.223958333333,0.491666666667
48,hamlet43_1_1,0.0,0.0
49,hamlet52_1_1,0.0375,0.2875
50,hamlet52_1_2,0.0,0.0
51,hamlet22_1_1,0.0,0.0
52,hamlet51_1_1,0.0,0.0
53,hamlet31_2_1,-0.2,0.4
54,hamlet31_2_2,0.0,0.0
55,hamlet15_2_1,0.0,0.0
56,hamlet32_2_1,-0.216666666667,0.216666666667
57,hamlet32_2_2,0.266666666667,0.4
58,hamlet32_2_3,0.303571428571,0.452380952381
