id,speaker_header,polarity,subjectivity
1,horatio47_1_1,0.0,0.0
2,horatio47_1_2,0.0,0.0
3,horatio14_1_1,0.0,0.0
4,horatio12_1_1,0.0,0.0
5,horatio11_1_1,0.0,0.0
6,horatio51_1_1,0.0,0.0
7,horatio32_1_1,0.35,0.65
8,horatio46_1_1,0.0,0.0
9,horatio52_1_1,0.0,0.0
10,horatio15_1_1,0.0,0.0
11,horatio14_2_1,0.0,0.0
12,horatio12_2_1,-0.2,0.3625
13,horatio11_2_1,0.0,0.0
14,horatio51_2_1,0.0,0.0
15,horatio32_2_1,0.0,0.0
16,horatio46_2_1,0.0,0.0
17,horatio46_2_2,0.0,0.0
18,horatio52_2_1,0.357142857143,0.535714285714
19,horatio15_2_1,0.5,0.6
20,horatio14_3_1,0.0,0.0
21,horatio14_3_2,0.1,0.4
22,horatio14_3_3,-0.3125,0.6875
23,horatio12_3_1,0.7,0.6
24,horatio11_3_1,0.0,0.0
25,horatio51_3_1,0.0,0.0
26,horatio32_3_1,0.0,0.0
27,horatio46_3_1,0.0,0.0
28,horatio52_3_1,0.0,1.0
29,horatio15_3_1,0.0,0.0
30,horatio14_4_1,0.0,0.0
31,horatio12_4_1,0.0,0.0
32,horatio11_4_1,-0.155555555556,0.288888888889
33,horatio51_4_1,0.5,0.5
34,horatio32_4_1,-0.166666666667,0.166666666667
35,horatio46_4_1,0.0,0.0
36,horatio46_4_2,0.1,0.2
37,horatio46_4_3,0.05,0.525
38,horatio46_4_4,0.0,0.0
39,horatio46_4_5,0.0,0.0
40,horatio46_4_6,0.7,0.6
41,horatio46_4_7,0.0,0.0
42,horatio46_4_8,0.5,0.55
43,horatio46_4_9,-0.375,0.5
44,horatio46_4_10,0.2,0.2
45,horatio46_4_11,0.7,0.6
46,horatio46_4_12,0.2,0.2
47,horatio46_4_13,0.0,0.0
48,horatio46_4_14,0.0,0.0
49,horatio46_4_15,0.0,0.0
50,horatio46_4_16,0.1,0.4
51,horatio52_4_1,0.0,0.0
52,horatio15_4_1,0.7,0.6
53,horatio14_5_1,0.0,0.0
54,horatio12_5_1,-0.291666666667,0.541666666667
55,horatio11_5_1,0.5,0.5
56,horatio51_5_1,0.0,0.0
57,horatio32_5_1,0.0,0.0
58,horatio52_5_1,0.7,0.6
59,horatio15_5_1,0.0,0.0
60,horatio14_6_1,0.0,0.0
61,horatio12_6_1,0.0,0.0
62,horatio11_6_1,0.7,0.9
63,horatio11_6_2,0.0,0.0
64,horatio32_6_1,0.2,0.3
65,horatio51_6_1,0.0,0.0
66,horatio52_6_1,0.0,0.0
67,horatio15_6_1,0.0,0.0
68,horatio14_7_1,0.0,0.0
69,horatio12_7_1,0.0,0.0
70,horatio12_7_2,0.7,0.6
71,horatio11_7_1,0.0,0.0
72,horatio11_7_2,0.0,0.0
73,horatio11_7_3,0.0,0.0
74,horatio32_7_1,0.2,0.3
75,horatio51_7_1,0.0,0.0
76,horatio52_7_1,0.0,0.0
77,horatio15_7_1,0.0,0.0
78,horatio14_8_1,0.0,0.0
79,horatio12_8_1,0.0,0.0
80,horatio11_8_1,0.475,0.825
81,horatio51_8_1,0.0,0.0
82,horatio52_8_1,0.0,0.0
83,horatio15_8_1,0.1,0.4
84,horatio14_9_1,-0.73125,0.84375
85,horatio14_9_2,0.4,0.433333333333
86,horatio12_9_1,0.0,0.0
87,horatio11_9_1,0.225,0.525
88,horatio11_9_2,-0.5,1.0
89,horatio11_9_3,-0.05,0.15
90,horatio51_9_1,-0.1,1.0
91,horatio52_9_1,0.0,0.3
92,horatio15_9_1,0.0,0.0
93,horatio15_10_1,0.0,0.0
94,horatio15_10_2,0.0,0.0
95,horatio11_10_1,0.166666666667,0.333333333333
96,horatio11_10_2,-0.025,0.075
97,horatio52_10_1,0.0,0.0
98,horatio52_10_2,0.0,0.0
99,horatio12_10_1,0.0,0.0
100,horatio14_10_1,0.0,0.0
101,horatio14_10_2,0.0,0.0
102,horatio51_10_1,0.35,0.466666666667
103,horatio15_11_1,0.0,0.0
104,horatio11_11_1,-0.3,0.4
105,horatio11_11_2,0.25,0.283333333333
106,horatio11_11_3,0.0,0.0
107,horatio11_11_4,0.0,0.0
108,horatio11_11_5,0.0,0.0
109,horatio11_11_6,0.0,0.125
110,horatio11_11_7,0.233333333333,0.6
111,horatio11_11_8,0.220833333333,0.480555555556
112,horatio52_11_1,0.7,0.6
113,horatio12_11_1,-0.0666666666667,0.466666666667
114,horatio12_11_2,-0.025,0.325
115,horatio12_11_3,-0.375,0.5
116,horatio12_11_4,-1.0,1.0
117,horatio12_11_5,0.35,0.416666666667
118,horatio12_11_6,-0.25,0.5
