id,speaker_header,polarity,subjectivity
1,laertes47_1_1,0.166666666667,0.333333333333
2,laertes52_1_1,0.5,1.0
3,laertes52_1_2,0.0,0.0
4,laertes52_1_3,0.0,0.0
5,laertes52_1_4,0.416666666667,0.7
6,laertes51_1_1,0.0,0.0
7,laertes12_1_1,0.0,0.0
8,laertes12_1_2,0.25,0.75
9,laertes12_1_3,0.0,0.0
10,laertes13_1_1,0.0,0.0
11,laertes45_1_1,0.0,0.0
12,laertes45_1_2,0.0,0.0
13,laertes47_2_1,0.6,0.9
14,laertes47_2_2,-0.1,0.366666666667
15,laertes51_2_1,0.0,0.0
16,laertes13_2_1,0.175,0.325
17,laertes13_2_2,0.0,0.0
18,laertes13_2_3,-0.25,0.5
19,laertes52_2_1,0.0,0.0
20,laertes45_2_1,0.0,0.0
21,laertes47_3_1,0.0,0.0
22,laertes51_3_1,-0.25,0.5
23,laertes13_3_1,0.0,0.0
24,laertes13_3_2,-0.1,0.4
25,laertes13_3_3,0.0,0.0
26,laertes13_3_4,0.6,1.0
27,laertes13_3_5,-0.166666666667,0.333333333333
28,laertes13_3_6,0.2,0.4
29,laertes13_3_7,0.0,0.0
30,laertes13_3_8,0.133333333333,0.666666666667
31,laertes13_3_9,0.166666666667,0.333333333333
32,laertes13_3_10,0.0,0.0
33,laertes13_3_11,0.0,0.0
34,laertes13_3_12,0.0,0.0
35,laertes13_3_13,0.5,0.5
36,laertes13_3_14,-0.5,0.7
37,laertes13_3_15,0.55,0.35
38,laertes52_3_1,0.0,0.0
39,laertes45_3_1,0.0,0.0
40,laertes45_3_2,0.0,0.0
41,laertes47_4_1,0.0,0.0
42,laertes47_4_2,0.0,0.0
43,laertes47_4_3,0.168181818182,0.4
44,laertes52_4_1,-0.2,0.5
45,laertes51_4_1,0.0,0.0
46,laertes51_4_2,0.875,0.9
47,laertes51_4_3,0.0,0.0
48,laertes13_4_1,0.0,0.0
49,laertes13_4_2,-0.05,0.4
50,laertes13_4_3,0.0,0.0
51,laertes13_4_4,0.0,0.0
52,laertes45_4_1,0.3,0.75
53,laertes45_4_2,0.0,0.0
54,laertes45_4_3,0.35,0.65
55,laertes47_5_1,0.0,0.0
56,laertes47_5_2,0.0,0.0
57,laertes52_5_1,0.0,0.0
58,laertes51_5_1,0.375,0.5
59,laertes51_5_2,0.118055555556,0.304166666667
60,laertes13_5_1,0.15,0.45
61,laertes45_5_1,0.0,0.0
62,laertes47_6_1,0.0,0.0
63,laertes47_6_2,0.0,0.0
64,laertes52_6_1,0.0,0.0
65,laertes51_6_1,0.0,0.0
66,laertes13_6_1,0.0,0.0
67,laertes13_6_2,0.0,0.0
68,laertes45_6_1,-0.2,0.4
69,laertes45_6_2,0.0,0.0
70,laertes45_6_3,0.0,0.0
71,laertes45_6_4,0.0,1.0
72,laertes47_7_1,0.0,0.0
73,laertes52_7_1,0.0,0.0
74,laertes52_7_2,0.0,0.0
75,laertes13_7_1,0.0,0.0
76,laertes45_7_1,-0.04375,0.75
77,laertes47_8_1,0.0,0.0
78,laertes52_8_1,0.0,0.0
79,laertes45_8_1,0.0,0.0
80,laertes47_9_1,0.0,0.0
81,laertes52_9_1,0.0,0.0
82,laertes45_9_1,0.3,0.5
83,laertes45_9_2,0.6,0.9
84,laertes47_10_1,0.0,0.0
85,laertes45_10_1,0.0,0.0
86,laertes45_10_2,0.0,0.0
87,laertes45_10_3,-0.0833333333333,0.6
88,laertes45_10_4,0.0,0.0
89,laertes45_10_5,0.0,0.0
90,laertes45_10_6,0.545833333333,0.833333333333
91,laertes45_10_7,0.0,0.0
92,laertes45_10_8,0.0666666666667,0.533333333333
93,laertes45_10_9,0.458333333333,0.55
94,laertes45_10_10,0.458333333333,0.75
95,laertes52_10_1,0.0,0.0
96,laertes47_11_1,0.0,0.0
97,laertes45_11_1,0.0,0.0
98,laertes52_11_1,0.0,0.0
99,laertes52_11_2,0.0,0.0
100,laertes47_12_1,0.0,0.0
101,laertes45_12_1,0.5,0.5
102,laertes52_12_1,0.0,0.0
103,laertes47_13_1,0.0,0.0
104,laertes45_13_1,0.0,0.0
105,laertes52_13_1,0.6,1.0
106,laertes52_13_2,0.2,0.5
107,laertes47_14_1,0.0,0.0
108,laertes47_14_2,0.0666666666667,0.533333333333
109,laertes45_14_1,0.0,0.0
110,laertes52_14_1,0.0,0.0
111,laertes52_14_2,0.7,0.6
112,laertes52_14_3,0.0833333333333,0.166666666667
113,laertes52_14_4,0.0,0.0
114,laertes52_14_5,-0.25,0.5
115,laertes47_15_1,-0.125,0.1
116,laertes47_15_2,0.0,0.0
117,laertes45_15_1,0.0,0.0
118,laertes52_15_1,0.0,0.0
119,laertes52_15_2,0.0,0.0
120,laertes52_15_3,0.75,0.9
121,laertes47_16_1,-0.25,0.55
122,laertes45_16_1,0.0,0.0
123,laertes45_16_2,-0.3,0.9
124,laertes47_17_1,-0.1,0.4
125,laertes47_17_2,0.0,0.0
126,laertes47_17_3,0.0,0.0
