id,speaker_header,polarity,subjectivity
1,ophelia45_1_1,0.0,0.0
2,ophelia13_1_1,0.0,0.0
3,ophelia21_1_1,-0.5,1.0
4,ophelia32_1_1,0.0,0.0
5,ophelia45_2_1,0.425,0.625
6,ophelia45_2_2,0.0,0.0
7,ophelia13_2_1,-0.25,0.5
8,ophelia21_2_1,0.0,0.0
9,ophelia21_2_2,0.0,0.0
10,ophelia21_2_3,0.0,0.0
11,ophelia21_2_4,-0.21,0.18
12,ophelia21_2_5,-0.125,0.375
13,ophelia21_2_6,0.0,0.0
14,ophelia32_2_1,0.0,0.0
15,ophelia45_3_1,0.0,0.0
16,ophelia45_3_2,0.0,0.0
17,ophelia45_3_3,-0.2,0.4
18,ophelia45_3_4,-0.2,0.3
19,ophelia13_3_1,0.7,0.6
20,ophelia13_3_2,0.7,0.6
21,ophelia13_3_3,0.6,1.0
22,ophelia21_3_1,0.0,0.0
23,ophelia21_3_2,0.0,0.0
24,ophelia32_3_1,0.0,0.0
25,ophelia13_4_1,0.0,1.0
26,ophelia21_4_1,-0.291666666667,0.541666666667
27,ophelia21_4_2,0.0,0.0
28,ophelia21_4_3,-0.0625,0.4375
29,ophelia21_4_4,-0.05,0.4
30,ophelia21_4_5,-0.114351851852,0.285185185185
31,ophelia21_4_6,0.2,0.383333333333
32,ophelia45_4_1,0.0,0.0
33,ophelia45_4_2,0.0,0.0
34,ophelia32_4_1,0.0,0.0
35,ophelia45_5_1,0.35,0.65
36,ophelia45_5_2,0.0,0.0
37,ophelia13_5_1,0.5,0.5
38,ophelia21_5_1,0.7,0.6
39,ophelia21_5_2,0.0,0.0
40,ophelia32_5_1,0.0,0.0
41,ophelia45_6_1,0.0,0.0
42,ophelia45_6_2,0.0,0.0
43,ophelia45_6_3,0.0,0.0
44,ophelia45_6_4,0.0,0.0
45,ophelia13_6_1,0.1,0.55
46,ophelia32_6_1,0.0,0.0
47,ophelia31_6_1,0.0,0.0
48,ophelia45_7_1,0.0,0.0
49,ophelia45_7_2,0.0,0.0
50,ophelia45_7_3,0.55,0.725
51,ophelia13_7_1,0.0,0.0
52,ophelia32_7_1,0.0,0.0
53,ophelia31_7_1,0.6,0.55
54,ophelia45_8_1,0.0,0.0
55,ophelia45_8_2,0.0,0.0
56,ophelia45_8_3,0.0,0.0
57,ophelia13_8_1,0.0,0.0
58,ophelia32_8_1,0.0,0.0
59,ophelia31_8_1,-0.05,0.4
60,ophelia31_8_2,0.0,0.0
61,ophelia45_9_1,0.0,0.0
62,ophelia45_9_2,-0.6,1.0
63,ophelia45_9_3,0.0,0.0
64,ophelia45_9_4,0.0,0.0
65,ophelia45_9_5,0.7,0.6
66,ophelia45_9_6,0.7,0.6
67,ophelia45_9_7,0.7,0.6
68,ophelia32_9_1,0.0,0.0
69,ophelia13_9_1,0.0,0.0
70,ophelia31_9_1,0.285714285714,0.535714285714
71,ophelia31_9_2,0.408333333333,0.633333333333
72,ophelia31_9_3,0.0,0.0
73,ophelia31_9_4,0.1,0.75
74,ophelia31_9_5,0.0,0.0
75,ophelia31_10_1,0.0,0.0
76,ophelia13_10_1,0.0,0.0
77,ophelia32_10_1,0.0,0.0
78,ophelia45_10_1,0.5,0.5
79,ophelia45_10_2,0.0,0.0
80,ophelia31_11_1,0.0,0.0
81,ophelia32_11_1,0.0,0.0
82,ophelia45_11_1,0.0,0.0
83,ophelia45_11_2,0.0,0.0
84,ophelia45_11_3,-0.4,0.6
85,ophelia32_12_1,0.0,0.333333333333
86,ophelia45_12_1,0.0,0.0
87,ophelia45_12_2,0.5,0.6
88,ophelia31_12_1,0.5,0.5
89,ophelia31_13_1,0.0,0.0
90,ophelia32_13_1,0.7,0.6
91,ophelia45_13_1,0.0,0.0
92,ophelia45_13_2,0.05,1.0
93,ophelia45_13_3,0.5375,0.5875
94,ophelia31_14_1,0.5,0.5
95,ophelia32_14_1,0.0,0.0
96,ophelia45_14_1,0.0,0.0
97,ophelia45_14_2,0.0,0.0
98,ophelia45_14_3,-0.2,0.4
99,ophelia45_14_4,0.0,0.0
100,ophelia45_14_5,0.0,0.0
101,ophelia31_15_1,0.0,0.0
102,ophelia32_15_1,0.05,0.55
103,ophelia31_16_1,0.4375,0.65
104,ophelia32_16_1,0.0,0.0
105,ophelia31_17_1,0.0,0.0
106,ophelia31_18_1,0.45625,0.75
107,ophelia31_18_2,0.0625,1.0
