id,speaker_header,polarity,subjectivity
1,other52_1_1,0.05,0.2
2,other32_1_1,0.0,0.0
3,other51_1_1,-0.35,0.95
4,other51_1_2,0.4,0.408333333333
5,other51_1_3,0.6,0.8
6,other12_1_1,0.0,0.0
7,other44_1_1,0.0,0.0
8,other45_1_1,0.0,0.0
9,other45_1_2,0.0,0.0
10,other46_1_1,0.0,0.0
11,other22_1_1,0.6,0.7
12,other22_1_2,0.25,0.333333333333
13,other22_1_3,0.0,0.0
14,other22_1_4,0.5,0.5
15,other22_1_5,-0.4,0.6
16,other22_1_6,0.0,0.333333333333
17,other22_1_7,0.0,0.0
18,other22_1_8,0.416666666667,0.5
19,other22_1_9,0.45,0.2
20,other22_1_10,-0.0388888888889,0.405555555556
21,other47_1_1,0.0,0.0
22,other47_1_2,0.0,0.0
23,other52_2_1,-0.155555555556,0.288888888889
24,other51_2_1,-0.25,0.5
25,other51_2_2,0.0,0.5
26,other44_2_1,0.0,0.0
27,other45_2_1,0.2,0.2
28,other45_2_2,0.0,0.0
29,other45_2_3,0.0,0.0
30,other45_2_4,-0.166666666667,0.166666666667
31,other45_2_5,0.5,0.7
32,other45_2_6,-0.05,0.894444444444
33,other45_2_7,0.7,0.6
34,other45_2_8,0.0,0.0
35,other46_2_1,0.0,0.0
36,other52_3_1,0.2,0.8
37,other51_3_1,0.0,0.0
38,other44_3_1,0.0,0.0
39,other45_3_1,0.3,0.45
40,other45_3_2,0.0,0.0
41,other45_3_3,0.0,0.0
42,other45_3_4,0.0,0.0
43,other45_3_5,0.0,0.0
44,other45_3_6,0.0,0.0
45,other46_3_1,0.0,0.0
46,other46_3_2,0.0,0.0
47,other46_3_3,0.0,0.0
48,other52_4_1,0.0,0.0
49,other52_4_2,0.0,0.0
50,other44_4_1,0.1,0.2
51,other45_4_1,0.0,0.0
52,other52_5_1,0.0,0.0
53,other52_5_2,0.2,0.2
54,other44_5_1,-0.1875,0.5
55,other44_5_2,0.0,0.0
56,other44_5_3,0.0,0.0
57,other45_5_1,0.0,0.0
58,other44_6_1,0.0,0.0
59,other45_6_1,0.0,0.0
60,other44_7_1,0.0,0.0
