id,speaker_header,polarity,subjectivity
1,players32_1_1,0.0,0.0
2,players22_1_1,0.0,0.0
3,players32_2_1,0.0,0.0
4,players22_2_1,0.25,0.65
5,players22_2_2,-0.1,0.4
6,players22_2_3,0.0,0.0
7,players22_2_4,-0.8,1.0
8,players22_2_5,0.0,0.0
9,players22_2_6,0.0,0.0
10,players22_2_7,0.0,0.0
11,players22_2_8,-0.333333333333,0.833333333333
12,players22_2_9,0.136363636364,0.454545454545
13,players22_2_10,-0.166666666667,0.0666666666667
14,players22_2_11,0.0,0.0
15,players22_2_12,0.05,0.5
16,players22_2_13,-0.118518518519,0.32962962963
17,players32_3_1,0.0,0.0
18,players22_3_1,0.0,0.0
19,players32_4_1,0.45,0.55
20,players22_4_1,-0.155555555556,0.288888888889
21,players22_4_2,-0.3,0.6
22,players22_4_3,0.0,0.666666666667
23,players32_5_1,0.0142857142857,0.592857142857
24,players32_5_2,0.0,0.0
25,players32_5_3,0.5,0.6
26,players32_5_4,0.0,0.0
27,players32_5_5,0.5,0.6
28,players32_5_6,0.6,0.65
29,players32_5_7,0.478125,0.65
30,players22_5_1,0.0,0.0
31,players32_6_1,0.25,0.45
32,players32_6_2,0.284090909091,0.775
33,players22_6_1,0.0,0.0
34,players32_7_1,0.11,0.186666666667
35,players32_8_1,-0.1,0.533333333333
36,players32_8_2,0.0,0.0
37,players32_9_1,0.0,0.0
38,players32_9_2,0.0,0.0
39,players32_9_3,0.0,0.0
40,players32_9_4,-0.6,0.8
41,players32_9_5,0.0,0.0
42,players32_9_6,0.25,0.75
43,players32_9_7,0.133333333333,0.433333333333
44,players32_9_8,0.0,0.2
45,players32_9_9,0.0,0.0
46,players32_9_10,0.0,0.0
47,players32_9_11,0.333333333333,0.4
48,players32_9_12,0.161111111111,0.559722222222
49,players32_9_13,0.5,0.6
50,players32_9_14,0.0,0.225
51,players32_9_15,0.0,0.0
52,players32_9_16,0.0166666666667,0.244444444444
53,players32_10_1,0.0,0.0
54,players32_11_1,0.0,0.4
55,players32_11_2,0.35,0.65
56,players32_11_3,-0.395833333333,0.75
57,players32_12_1,0.0,0.0
58,players32_13_1,0.277777777778,0.611111111111
59,players32_13_2,0.0,0.0
60,players32_13_3,-0.2,0.8
