id,speaker_header,polarity,subjectivity
1,rosencrantz42_1_1,0.0,0.0
2,rosencrantz42_1_2,0.0,0.0
3,rosencrantz22_1_1,0.5,0.5
4,rosencrantz44_1_1,0.0,0.0
5,rosencrantz43_1_1,-0.2,0.4
6,rosencrantz31_1_1,0.0,0.0
7,rosencrantz32_1_1,0.0,0.0
8,rosencrantz33_1_1,-0.0714285714286,0.214285714286
9,rosencrantz33_1_2,0.35,0.35
10,rosencrantz33_1_3,0.0,0.0
11,rosencrantz33_1_4,0.12,0.4
12,rosencrantz33_1_5,-0.25,0.4
13,rosencrantz33_1_6,0.05,0.5
14,rosencrantz42_2_1,-0.2,0.4
15,rosencrantz22_2_1,0.0,0.0
16,rosencrantz43_2_1,0.0,0.0
17,rosencrantz43_2_2,0.4,0.6
18,rosencrantz31_2_1,0.5,0.5
19,rosencrantz32_2_1,0.0,0.0
20,rosencrantz32_2_2,0.0,0.0
21,rosencrantz33_2_1,0.0,0.0
22,rosencrantz42_3_1,0.0,0.0
23,rosencrantz22_3_1,0.625,0.5
24,rosencrantz43_3_1,0.0,0.0
25,rosencrantz43_3_2,0.0,0.0
26,rosencrantz31_3_1,0.0,0.0
27,rosencrantz31_3_2,0.45,0.65
28,rosencrantz32_3_1,0.0,0.0
29,rosencrantz42_4_1,0.0,0.0
30,rosencrantz22_4_1,0.0,0.0
31,rosencrantz31_4_1,0.407142857143,0.735714285714
32,rosencrantz32_4_1,0.0,0.0
33,rosencrantz42_5_1,0.0,0.0
34,rosencrantz22_5_1,0.0,0.0
35,rosencrantz31_5_1,0.0,0.0
36,rosencrantz32_5_1,0.5,0.6
37,rosencrantz42_6_1,0.0,0.0
38,rosencrantz22_6_1,0.6,0.9
39,rosencrantz32_6_1,0.7,0.6
40,rosencrantz32_6_2,0.55,0.944444444444
41,rosencrantz42_7_1,0.0,0.0
42,rosencrantz22_7_1,0.0,0.0
43,rosencrantz32_7_1,0.0,0.0
44,rosencrantz22_8_1,0.0,0.0
45,rosencrantz22_9_1,0.0,0.0
46,rosencrantz22_9_2,-0.2,0.4
47,rosencrantz22_10_1,0.4,0.7
48,rosencrantz22_11_1,0.0,0.0
49,rosencrantz22_11_2,0.0625,0.375
50,rosencrantz22_12_1,0.0,0.0
51,rosencrantz22_13_1,0.0,0.0
52,rosencrantz22_14_1,0.0,0.5
53,rosencrantz22_15_1,0.0,0.0
54,rosencrantz22_15_2,0.0,0.0
55,rosencrantz22_16_1,0.0,0.5
56,rosencrantz22_17_1,0.0,0.0
57,rosencrantz22_18_1,0.0,0.0
58,rosencrantz22_19_1,0.15625,0.5
59,rosencrantz22_19_2,-0.133333333333,0.633333333333
60,rosencrantz22_20_1,0.2,0.2
61,rosencrantz22_20_2,0.0,0.0
62,rosencrantz22_21_1,0.0,0.0
63,rosencrantz22_21_2,0.0,0.0
64,rosencrantz22_22_1,0.4,0.5
65,rosencrantz22_22_2,0.0,0.0
66,rosencrantz22_23_1,0.875,0.6
